DATE,e_calcium,e_calories,e_carbs,e_cholesterol,e_fiber,e_protein,e_sat_fat,e_sodium,e_sugar,e_unsat_fat,m_active_time,m_caloriesx,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_deep,n_duration,n_light,n_quality,n_rem,o_count,o_mood,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_deep,s_duration,s_light,s_quality,s_rem
20130917,,,,,,,,,,,2794.0,214.509035617,4056.0,0.0,656.0,0.0,5154.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
20130918,,,,,,,,,,,5142.0,411.904987518,7650.0,27960.0,650.0,6180.0,9578.0,0.0,0.0,,,,,,,,,,,,,1424.0,1551.0,435.0,1.0,1400.0,13081.0,26949.0,13868.0,77.0,0.0
20130919,,,,,,,,,,,3793.0,310.055923551,5696.0,30000.0,619.0,4980.0,7102.0,0.0,0.0,,,,,,,,,,,,,1427.0,2690.0,346.0,2.0,1411.0,9011.0,19810.0,10799.0,53.0,0.0
20130920,,,,,,,,,,,6323.0,500.358809739,9492.0,28020.0,1730.0,7500.0,11893.0,0.0,0.0,,,,,,,,,,,,,1385.0,3075.0,447.0,2.0,1372.0,13741.0,27825.0,14084.0,80.0,0.0
20130921,,,,,,,,,,,3321.0,255.094287202,4732.0,30180.0,995.0,7680.0,6018.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
20130922,,,,,,,,,,,3944.0,320.761019811,6027.0,27960.0,1259.0,5340.0,7499.0,0.0,0.0,,,,,,,,,,,,,155.0,2189.0,636.0,1.0,136.0,15512.0,27811.0,12299.0,83.0,0.0
20130923,,,,,,,,,,,6004.0,449.103869915,8538.0,26820.0,860.0,3660.0,10907.0,0.0,0.0,,,,,,,,,,,,,57.0,1557.0,426.0,1.0,36.0,9482.0,21843.0,12361.0,59.0,0.0
20130924,,,,,,,,,,,2734.0,218.924218312,4083.0,30540.0,474.0,4320.0,5114.0,0.0,0.0,,,,,,,,,,,,,25.0,858.0,391.0,0.0,11.0,10681.0,22020.0,11339.0,63.0,0.0
20130925,,,,,,,,,,,4339.0,319.976514786,6186.0,28200.0,672.0,5400.0,7901.0,0.0,0.0,,,,,,,,,,,,,144.0,2876.0,443.0,2.0,118.0,10311.0,16624.0,6313.0,50.0,0.0
20130926,,,,,,,,,,,2901.0,235.936398923,4289.0,28140.0,592.0,5940.0,5361.0,0.0,0.0,,,,,,,,,,,,,23.0,3484.0,450.0,2.0,5.0,11651.0,23216.0,11565.0,67.0,0.0
20130927,,,,,,,,,,,5900.0,448.759206876,8443.0,25380.0,740.0,6360.0,10772.0,0.0,0.0,,,,,,,,,,,,,21.0,2048.0,401.0,3.0,1.0,11813.0,21952.0,10139.0,63.0,0.0
20130928,,,,,,,,,,,7243.0,587.814318333,10981.0,25200.0,1735.0,6300.0,13662.0,0.0,0.0,,,,,,,,,,,,,1427.0,8790.0,645.0,6.0,1335.0,16079.0,36210.0,20131.0,100.0,0.0
20130929,,,,,,,,,,,4970.0,420.06056577,7754.0,31920.0,985.0,9360.0,9531.0,0.0,0.0,,,,,,,,,,,,,563.0,4380.0,862.0,2.0,557.0,7921.0,13920.0,5999.0,41.0,0.0
20130930,,,,,,,,,,,4616.0,342.052799352,6585.0,29040.0,821.0,5820.0,8407.0,0.0,0.0,,,,,,,,,,,,,77.0,2808.0,455.0,3.0,55.0,12585.0,21192.0,8607.0,63.0,0.0
20131001,,,,,,,,,,,2822.0,235.254734337,4315.0,27540.0,584.0,8040.0,5341.0,0.0,0.0,,,,,,,,,,,,,41.0,1353.0,444.0,0.0,19.0,11520.0,24240.0,12720.0,67.0,0.0
20131002,,,,,,,,,,,2714.0,227.830996782,4209.0,28740.0,491.0,6720.0,5189.0,0.0,0.0,,,,,,,,,,,,,56.0,2328.0,452.0,2.0,32.0,12538.0,22872.0,10334.0,69.0,0.0
20131003,,,,,,,,,,,4067.0,322.820191897,6109.0,29460.0,854.0,13680.0,7617.0,0.0,0.0,,,,,,,,,,,,,82.0,1793.0,416.0,3.0,66.0,5786.0,19207.0,13421.0,45.0,0.0
20131004,,,,,,,,,,,7934.0,634.347242329,11889.0,23220.0,788.0,7260.0,14905.0,0.0,0.0,,,,,,,,,,,,,90.0,2388.0,391.0,3.0,76.0,7515.0,16512.0,8997.0,45.0,0.0
20131005,,,,,,,,,,,822.0,63.3646781221,1182.0,0.0,459.0,0.0,1508.0,0.0,0.0,,,,,,,,,,,,,166.0,3481.0,415.0,2.0,155.0,7560.0,12119.0,4559.0,36.0,0.0
20131006,,,,,,,,,,,1453.0,113.17484653,2192.0,29100.0,291.0,7740.0,2728.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
20131007,,,,,,,,,,,5656.0,439.500112135,8361.0,24480.0,1212.0,4920.0,10521.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
20131008,,,,,,,,,,,6092.0,460.320283044,8727.0,26880.0,756.0,10500.0,11107.0,0.0,0.0,,,,,,,,,,,,,1356.0,3939.0,398.0,5.0,1338.0,13265.0,26061.0,12796.0,74.0,0.0
20131009,,,,,,,,,,,5569.0,449.241186216,8565.0,24540.0,1272.0,5280.0,10630.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
20131010,,,,,,,,,,,6280.0,471.746110599,9002.0,28200.0,1035.0,6720.0,11492.0,0.0,0.0,,,,,,,,,,,,,27.0,2194.0,451.0,4.0,16.0,10470.0,23906.0,13436.0,62.0,0.0
20131011,,,,,,,,,,,5864.0,436.183260083,8234.0,27900.0,591.0,3900.0,10569.0,0.0,0.0,,,,,,,,,,,,,123.0,4329.0,482.0,4.0,112.0,10825.0,17871.0,7046.0,52.0,0.0
20131012,,,,,,,,,,,7593.0,644.934340898,11742.0,22200.0,1781.0,5760.0,14492.0,0.0,0.0,,,,,,,,,,,,,135.0,2040.0,467.0,0.0,102.0,9180.0,19860.0,10680.0,56.0,0.0
20131013,,,,,,,,,,,3554.0,272.945309512,5183.0,30660.0,1032.0,8880.0,6571.0,0.0,0.0,,,,,,,,,,,,,112.0,11686.0,696.0,5.0,76.0,16606.0,25514.0,8908.0,87.0,0.0
20131014,,,,,,,,,,,4876.0,363.868723534,6866.0,27420.0,876.0,4020.0,8809.0,0.0,0.0,,,,,,,,,,,,,75.0,4710.0,491.0,4.0,51.0,10410.0,21690.0,11280.0,60.0,0.0
20131015,,,,,,,,,,,2249.0,183.331499416,3517.0,28980.0,562.0,5760.0,4350.0,0.0,0.0,,,,,,,,,,,,,659.0,1680.0,27290.0,1.0,-310.0,13080.0,25920.0,12840.0,77.0,0.0
20131016,,,,,,,,,,,152.0,12.4699886441,230.0,32400.0,73.0,32400.0,289.0,0.0,0.0,,,,,,,,,,,,,8159.0,2133.0,27326.0,0.0,6026.0,9997.0,19356.0,9359.0,56.0,0.0
20131017,,,,,,,,,,,3257.0,266.76741384,4888.0,26880.0,573.0,5160.0,6109.0,0.0,0.0,,,,,,,,,,,,,1619.0,1603.0,27324.0,1.0,324.0,13980.0,25397.0,11417.0,75.0,0.0
20131018,,,,,,,,,,,4980.0,418.301502354,7733.0,23220.0,1261.0,4020.0,9574.0,0.0,0.0,,,,,,,,,,,,,6899.0,2370.0,27354.0,1.0,4854.0,7664.0,20130.0,12466.0,52.0,0.0
